,precision,recall,f1-score,support
0,0.589041095890411,0.8514851485148515,0.6963562753036437,101.0
1,0.45714285714285713,0.48484848484848486,0.47058823529411764,99.0
2,0.5342465753424658,0.4148936170212766,0.46706586826347307,94.0
3,0.7872340425531915,0.4157303370786517,0.5441176470588235,89.0
4,0.6526315789473685,0.7469879518072289,0.6966292134831461,83.0
accuracy,0.5836909871244635,0.5836909871244635,0.5836909871244635,0.5836909871244635
macro avg,0.6040592299752587,0.5827891078540987,0.5749514478806408,466.0
weighted avg,0.5991453271762485,0.5836909871244635,0.5731139614246535,466.0
