,precision,recall,f1-score,support
0,0.6417910447761194,0.8514851485148515,0.7319148936170212,101.0
1,0.5254237288135594,0.6262626262626263,0.5714285714285714,99.0
2,0.4918032786885246,0.3191489361702128,0.3870967741935484,94.0
3,0.6463414634146342,0.5955056179775281,0.6198830409356725,89.0
4,0.647887323943662,0.5542168674698795,0.5974025974025974,83.0
accuracy,0.5944206008583691,0.5944206008583691,0.5944206008583691,0.5944206008583691
macro avg,0.5906493679272999,0.5893238392790195,0.5815451755154821,466.0
weighted avg,0.5887690794053179,0.5944206008583691,0.5829097335378361,466.0
