,precision,recall,f1-score,support
0,0.6491228070175439,0.7326732673267327,0.6883720930232559,101.0
1,0.4407894736842105,0.6767676767676768,0.5338645418326693,99.0
2,0.5689655172413793,0.35106382978723405,0.4342105263157895,94.0
3,0.6794871794871795,0.5955056179775281,0.6347305389221557,89.0
4,0.640625,0.4939759036144578,0.5578231292517006,83.0
accuracy,0.575107296137339,0.575107296137339,0.575107296137339,0.575107296137339
macro avg,0.5957979954860626,0.5699972590947258,0.5698001658691142,466.0
weighted avg,0.5929797296106382,0.575107296137339,0.5707817557992068,466.0
