,precision,recall,f1-score,support
0,0.4885057471264368,0.8415841584158416,0.6181818181818182,101.0
1,0.47126436781609193,0.41414141414141414,0.44086021505376344,99.0
2,0.5166666666666667,0.32978723404255317,0.4025974025974026,94.0
3,0.8028169014084507,0.6404494382022472,0.7125,89.0
4,0.6621621621621622,0.5903614457831325,0.6242038216560509,83.0
accuracy,0.5643776824034334,0.5643776824034334,0.5643776824034334,0.5643776824034334
macro avg,0.5882831690359617,0.5632647381170377,0.559668651497807,466.0
weighted avg,0.5814830112125353,0.5643776824034334,0.556109652292477,466.0
