,precision,recall,f1-score,support
0,0.8307692307692308,0.5346534653465347,0.6506024096385542,101.0
1,0.4583333333333333,0.7777777777777778,0.5767790262172284,99.0
2,0.5185185185185185,0.44680851063829785,0.48,94.0
3,0.6857142857142857,0.5393258426966292,0.6037735849056604,89.0
4,0.6585365853658537,0.6506024096385542,0.6545454545454545,83.0
accuracy,0.5901287553648069,0.5901287553648069,0.5901287553648069,0.5901287553648069
macro avg,0.6303743907402445,0.5898336012195587,0.5931400950613795,466.0
weighted avg,0.6302801310351295,0.5901287553648069,0.5922641389546697,466.0
