,precision,recall,f1-score,support
0,0.503030303030303,0.8217821782178217,0.6240601503759399,101.0
1,0.46153846153846156,0.42424242424242425,0.4421052631578947,99.0
2,0.4838709677419355,0.3191489361702128,0.38461538461538464,94.0
3,0.7361111111111112,0.5955056179775281,0.6583850931677019,89.0
4,0.7631578947368421,0.6987951807228916,0.7295597484276729,83.0
accuracy,0.5708154506437768,0.5708154506437768,0.5708154506437768,0.5708154506437768
macro avg,0.5895417476317306,0.5718948674661757,0.5677451279489187,466.0
weighted avg,0.5811979257900366,0.5708154506437768,0.5624508043044419,466.0
