,precision,recall,f1-score,support
0,0.56,0.8316831683168316,0.6693227091633466,101.0
1,0.5365853658536586,0.4444444444444444,0.4861878453038674,99.0
2,0.4731182795698925,0.46808510638297873,0.47058823529411764,94.0
3,0.9019607843137255,0.5168539325842697,0.6571428571428571,89.0
4,0.7111111111111111,0.7710843373493976,0.7398843930635838,83.0
accuracy,0.6051502145922747,0.6051502145922747,0.6051502145922747,0.6051502145922747
macro avg,0.6365551081696775,0.6064301978155845,0.6046252079935546,466.0
weighted avg,0.6297248959768796,0.6051502145922747,0.6005699642451066,466.0
