,precision,recall,f1-score,support
0,0.5217391304347826,0.8316831683168316,0.6412213740458015,101.0
1,0.4017094017094017,0.47474747474747475,0.4351851851851852,99.0
2,0.4918032786885246,0.3191489361702128,0.3870967741935484,94.0
3,0.6923076923076923,0.5056179775280899,0.5844155844155844,89.0
4,0.6774193548387096,0.5060240963855421,0.5793103448275863,83.0
accuracy,0.5321888412017167,0.5321888412017167,0.5321888412017167,0.5321888412017167
macro avg,0.5569957715958223,0.5274443306296303,0.525445852533541,466.0
weighted avg,0.5505055412164434,0.5321888412017167,0.524312305836544,466.0
