epoch,accuracy,loss,val_accuracy,val_loss,epoch_time_s
1,0.2044609636068344,1.990092158317566,0.2620087265968323,1.7281548976898193,30.043153359001735
2,0.24721190333366394,1.7268593311309814,0.29694321751594543,1.6367688179016113,10.928919488000247
3,0.2750929296016693,1.613379716873169,0.34061136841773987,1.555243730545044,9.632314697002585
4,0.33023545145988464,1.5352001190185547,0.3449781537055969,1.4821560382843018,9.797802982997382
5,0.3643122613430023,1.483659029006958,0.3711790442466736,1.451499581336975,10.269547875999706
6,0.39962825179100037,1.4217015504837036,0.4192139804363251,1.3856323957443237,9.981708917002834
7,0.4101610779762268,1.372944951057434,0.4017467200756073,1.3690441846847534,9.79886206199808
8,0.42131349444389343,1.3502761125564575,0.44541484117507935,1.3516595363616943,10.05573277199801
9,0.4498141407966614,1.3207045793533325,0.4628821015357971,1.324049472808838,9.936494491998019
10,0.4615861177444458,1.2991348505020142,0.45414847135543823,1.266755223274231,9.700382253999123
11,0.4628252685070038,1.2826545238494873,0.4410480260848999,1.2719621658325195,9.905218806998164
12,0.46530359983444214,1.2605674266815186,0.4585152864456177,1.2495217323303223,10.108469146998686
13,0.4944238066673279,1.2182942628860474,0.47598254680633545,1.208586573600769,9.524725973999011
14,0.49752169847488403,1.1959993839263916,0.4628821015357971,1.2271513938903809,9.46799539699714
15,0.5055761933326721,1.1718871593475342,0.47598254680633545,1.196067214012146,10.116079175997584
16,0.5111523866653442,1.1842167377471924,0.4803493320941925,1.1978063583374023,9.682490339997457
17,0.5043370723724365,1.1634572744369507,0.48471614718437195,1.1602861881256104,9.736673329000041
18,0.5204461216926575,1.1449217796325684,0.49344977736473083,1.1741100549697876,9.948173463002604
19,0.5247831344604492,1.144839882850647,0.4803493320941925,1.1761753559112549,9.692533879999246
20,0.5297397971153259,1.1362088918685913,0.5021833777427673,1.1431784629821777,9.698047614001553
21,0.5371747016906738,1.126257061958313,0.4978165924549103,1.1439229249954224,9.74788539599831
22,0.5557620525360107,1.1126435995101929,0.4890829622745514,1.150740146636963,9.925043310999172
23,0.5260223150253296,1.120597243309021,0.5152838230133057,1.1190860271453857,9.556298740000784
24,0.5390334725379944,1.0950263738632202,0.5152838230133057,1.1409080028533936,9.472714687999542
25,0.5390334725379944,1.089705467224121,0.5240174531936646,1.1137851476669312,9.898966353997821
26,0.5563816428184509,1.0671346187591553,0.5109170079231262,1.115216612815857,9.525676876000944
27,0.5638166069984436,1.0728890895843506,0.5327510833740234,1.115096926689148,9.552886097000737
28,0.5526641607284546,1.1012054681777954,0.5371178984642029,1.0942943096160889,10.056212673000118
29,0.5724906921386719,1.0553430318832397,0.5371178984642029,1.0920745134353638,9.663183410000784
30,0.5731102824211121,1.0561286211013794,0.5152838230133057,1.1038802862167358,9.562350339998375
31,0.5619578957557678,1.0640249252319336,0.5327510833740234,1.0869394540786743,9.597698294997826
32,0.5619578957557678,1.0602219104766846,0.5152838230133057,1.1136155128479004,9.856699898999068
33,0.5706319808959961,1.0567971467971802,0.5414847135543823,1.1009478569030762,9.645865438000328
34,0.5644361972808838,1.044050931930542,0.5371178984642029,1.0863447189331055,9.680329175000224
35,0.5737298727035522,1.0457781553268433,0.5327510833740234,1.122838020324707,9.867795475998719
36,0.5923172235488892,1.0192039012908936,0.5371178984642029,1.104934573173523,9.58920329999819
37,0.5941759347915649,1.0208256244659424,0.5371178984642029,1.0869805812835693,9.543587038999249
38,0.5861214399337769,1.0316402912139893,0.5414847135543823,1.089024543762207,9.685688105000736
39,0.5879801511764526,1.0104572772979736,0.5807860493659973,1.0456708669662476,9.871261420001247
40,0.5817843675613403,1.0163201093673706,0.5502183437347412,1.0583404302597046,9.481090839999524
41,0.5941759347915649,1.0012398958206177,0.5807860493659973,1.0440884828567505,10.060989907000476
42,0.5879801511764526,1.0061320066452026,0.5633187890052795,1.0825066566467285,9.899279276000016
43,0.5805452466011047,1.0049420595169067,0.5502183437347412,1.066683292388916,9.692612797000038
44,0.5929368138313293,1.007306694984436,0.5764192342758179,1.0391038656234741,9.712206453998078
45,0.6059479713439941,0.9678530097007751,0.5589519739151001,1.0539295673370361,9.919607699997869
46,0.5978934168815613,0.9766051769256592,0.567685604095459,1.045335292816162,9.568440208000538
47,0.6146220564842224,0.9727527499198914,0.5764192342758179,1.0364376306533813,9.524040817999776
48,0.6096654534339905,0.9570483565330505,0.5633187890052795,1.0537006855010986,9.969187675000285
49,0.5972738265991211,0.9844006299972534,0.5633187890052795,1.054163932800293,9.569926357999066
50,0.5991325974464417,0.9693335890769958,0.5807860493659973,1.0390801429748535,9.598036619998311
51,0.5935564041137695,0.9789137244224548,0.5720524191856384,1.0487209558486938,9.913395578001655
52,0.586741030216217,0.9793868064880371,0.5545851588249207,1.058549165725708,9.6954613529997
53,0.6102849841117859,0.9538528919219971,0.567685604095459,1.055504560470581,9.610298132000025
54,0.6022304892539978,0.9575976729393005,0.5764192342758179,1.0371127128601074,9.628815177999059
55,0.6177199482917786,0.9550743699073792,0.5589519739151001,1.0683149099349976,9.748236556999473
56,0.6140024662017822,0.9541288018226624,0.5764192342758179,1.0463175773620605,9.58974805500111
57,0.6201982498168945,0.9647514224052429,0.5807860493659973,1.0284613370895386,9.651438583001436
58,0.6189591288566589,0.9482640624046326,0.5720524191856384,1.0397998094558716,9.956623124999169
59,0.6102849841117859,0.9486270546913147,0.5764192342758179,1.0243571996688843,9.488046449001558
60,0.6084262728691101,0.9611606001853943,0.5545851588249207,1.048411250114441,9.46117096099988
61,0.6140024662017822,0.9297752380371094,0.567685604095459,1.0388777256011963,9.72147543599931
62,0.6102849841117859,0.9334783554077148,0.5764192342758179,1.0203436613082886,9.648445916998753
63,0.6189591288566589,0.938556432723999,0.567685604095459,1.042576789855957,9.426107898001646
64,0.6040892004966736,0.9358857274055481,0.567685604095459,1.0538913011550903,9.706611552999675
65,0.6456009745597839,0.9043408632278442,0.5720524191856384,1.0237493515014648,9.895124636001128
66,0.6276332139968872,0.9203323125839233,0.5720524191856384,1.0310698747634888,9.609282966001047
67,0.6263940334320068,0.9459633827209473,0.5851528644561768,1.0274040699005127,9.610756557001878
68,0.6443618535995483,0.896000325679779,0.5982532501220703,0.9949642419815063,9.804442025000753
69,0.6301115155220032,0.9170433878898621,0.5938864350318909,1.0002474784851074,9.715270003001933
70,0.6096654534339905,0.919244647026062,0.5764192342758179,1.0286993980407715,9.635677508998924
71,0.6400247812271118,0.9079975485801697,0.5720524191856384,1.015639305114746,9.656358664997242
72,0.6313506960868835,0.9065393209457397,0.5895196795463562,0.9981990456581116,9.821845062000648
73,0.638166069984436,0.9074358344078064,0.5807860493659973,0.996670663356781,9.756994593000854
74,0.6276332139968872,0.9194575548171997,0.6026200652122498,0.9836173057556152,9.77167988400106
75,0.6443618535995483,0.8939105272293091,0.6200873255729675,0.9758664965629578,9.896302346001903
76,0.6301115155220032,0.906278669834137,0.5982532501220703,0.988444983959198,9.621624833998794
77,0.6468401551246643,0.9048441648483276,0.5895196795463562,1.0060842037200928,9.73463980499946
78,0.6437422633171082,0.894136905670166,0.5982532501220703,0.9989283084869385,9.84999728999901
79,0.6338289976119995,0.9025389552116394,0.5938864350318909,0.9935097694396973,9.71724694599834
80,0.6301115155220032,0.9294129014015198,0.5895196795463562,0.9939344525337219,9.617268248999608
81,0.6375464797019958,0.8793923854827881,0.5807860493659973,1.0180768966674805,9.882127929002309
82,0.6363072991371155,0.8930936455726624,0.5895196795463562,0.9972276091575623,9.967713043999538
83,0.6418834924697876,0.8946093320846558,0.5938864350318909,0.9872758984565735,9.777154057999724
84,0.6474597454071045,0.8921937346458435,0.5633187890052795,1.0494341850280762,9.84107299400057
85,0.6387856006622314,0.8833178877830505,0.6069868803024292,0.9808616042137146,10.191902705999382
