,precision,recall,f1-score,support
0,0.6086956521739131,0.8316831683168316,0.702928870292887,101.0
1,0.4782608695652174,0.4444444444444444,0.4607329842931937,99.0
2,0.5,0.5,0.5,94.0
3,0.8163265306122449,0.449438202247191,0.5797101449275363,89.0
4,0.6666666666666666,0.7469879518072289,0.7045454545454546,83.0
accuracy,0.5944206008583691,0.5944206008583691,0.5944206008583691,0.5944206008583691
macro avg,0.6139899438036084,0.5945107533631393,0.5895834908118143,466.0
weighted avg,0.6090396599020277,0.5944206008583691,0.5872958304086506,466.0
