,precision,recall,f1-score,support
0,0.4918918918918919,0.900990099009901,0.6363636363636364,101.0
1,0.375,0.24242424242424243,0.294478527607362,99.0
2,0.45,0.4787234042553192,0.4639175257731959,94.0
3,0.8070175438596491,0.5168539325842697,0.6301369863013698,89.0
4,0.7666666666666667,0.5542168674698795,0.6433566433566433,83.0
accuracy,0.5407725321888412,0.5407725321888412,0.5407725321888412,0.5407725321888412
macro avg,0.5781152204836415,0.5386417091487224,0.5336506638804415,466.0
weighted avg,0.5677338536865305,0.5407725321888412,0.5290024508754503,466.0
