epoch,accuracy,loss,val_accuracy,val_loss,epoch_time_s
1,0.21189591078066913,1.9897408820734888,0.24017467248908297,1.832951258363682,13.96689010800037
2,0.23234200743494424,1.7873345575072657,0.27074235807860264,1.6772364898540046,13.108726107999246
3,0.2589838909541512,1.6883856004941862,0.30131004366812225,1.5884288585862738,12.904881761998695
4,0.29677819083023543,1.6394181323908223,0.35807860262008734,1.5265813779622708,12.991191665998485
5,0.315365551425031,1.578331289385922,0.38427947598253276,1.4770597089326016,12.801457708999806
6,0.3469640644361834,1.5193233300909825,0.40611353711790393,1.4365768203568772,13.073854174999724
7,0.362453531598513,1.4885129435207174,0.4192139737991266,1.4056474720026209,12.722833320000063
8,0.38351920693928127,1.4460507179281525,0.4410480349344978,1.374985552250558,12.799098460000096
9,0.41016109045848825,1.4190683611559012,0.462882096069869,1.348534417985308,12.654659814001207
10,0.41697645600991323,1.3861257969372924,0.4672489082969432,1.3261124676492015,12.626854147001723
11,0.4225526641883519,1.366260779095996,0.4847161572052402,1.3055762370080406,13.393226547002996
12,0.43804213135068154,1.3477715902316674,0.49344978165938863,1.2894877226592152,12.367645883001387
13,0.45043370508054525,1.3195877200756523,0.5021834061135371,1.2744874855316362,12.385976630997902
14,0.44671623296158613,1.33320756073778,0.5152838427947598,1.2583990341711253,12.608492309998837
15,0.46220570012391576,1.2905633498301736,0.519650655021834,1.245061852525936,12.362859168999421
16,0.46654275092936803,1.2856156991464645,0.5109170305676856,1.2375989892076718,12.38674317099867
17,0.4801734820322181,1.2532658860585946,0.5240174672489083,1.2248330074626805,12.079965794997406
18,0.49380421313506817,1.2335800304731914,0.5109170305676856,1.2120018427028405,12.18371420800031
19,0.4888475836431227,1.256178071360015,0.519650655021834,1.2091944878798906,12.588737335001497
20,0.49566294919454773,1.2199859094737926,0.5109170305676856,1.2012772888075316,12.423257987000397
21,0.49814126394052044,1.2133095135919223,0.5240174672489083,1.1926498631723061,13.327814819000196
22,0.49814126394052044,1.208276658696313,0.519650655021834,1.1868536727397203,12.646913038999628
