,precision,recall,f1-score,support
0,0.5804195804195804,0.8217821782178217,0.680327868852459,101.0
1,0.4368932038834951,0.45454545454545453,0.44554455445544555,99.0
2,0.45348837209302323,0.4148936170212766,0.43333333333333335,94.0
3,0.7837837837837838,0.3258426966292135,0.4603174603174603,89.0
4,0.6288659793814433,0.7349397590361446,0.6777777777777778,83.0
accuracy,0.5515021459227468,0.5515021459227468,0.5515021459227468,0.5515021459227468
macro avg,0.5766901839122652,0.5504007410899823,0.5394601989472951,466.0
weighted avg,0.5717925854699665,0.5515021459227468,0.538152722108005,466.0
