,precision,recall,f1-score,support
0,0.5029239766081871,0.8514851485148515,0.6323529411764706,101.0
1,0.3877551020408163,0.3838383838383838,0.38578680203045684,99.0
2,0.45098039215686275,0.24468085106382978,0.31724137931034485,94.0
3,0.7142857142857143,0.39325842696629215,0.5072463768115942,89.0
4,0.5876288659793815,0.6867469879518072,0.6333333333333333,83.0
accuracy,0.5128755364806867,0.5128755364806867,0.5128755364806867,0.5128755364806867
macro avg,0.5287148102141924,0.5120019596670329,0.49519216653243997,466.0
weighted avg,0.5234331717809657,0.5128755364806867,0.492688464201523,466.0
