,precision,recall,f1-score,support
0,0.5882352941176471,0.7920792079207921,0.6751054852320675,101.0
1,0.46846846846846846,0.5252525252525253,0.49523809523809526,99.0
2,0.5238095238095238,0.46808510638297873,0.4943820224719101,94.0
3,0.8709677419354839,0.6067415730337079,0.7152317880794702,89.0
4,0.7123287671232876,0.6265060240963856,0.6666666666666666,83.0
accuracy,0.6051502145922747,0.6051502145922747,0.6051502145922747,0.6051502145922747
macro avg,0.6327619590908823,0.6037328873372779,0.609324811537642,466.0
weighted avg,0.6258962554202723,0.6051502145922747,0.6065989227935107,466.0
