,precision,recall,f1-score,support
0,0.5761589403973509,0.8613861386138614,0.6904761904761905,101.0
1,0.41739130434782606,0.48484848484848486,0.4485981308411215,99.0
2,0.5522388059701493,0.39361702127659576,0.45962732919254656,94.0
3,0.7377049180327869,0.5056179775280899,0.6,89.0
4,0.6666666666666666,0.5783132530120482,0.6193548387096774,83.0
accuracy,0.5686695278969958,0.5686695278969958,0.5686695278969958,0.5686695278969958
macro avg,0.5900321270829559,0.564756575055816,0.5636112978439073,466.0
weighted avg,0.5845779204077525,0.5686695278969958,0.5625766754256843,466.0
