,precision,recall,f1-score,support
0,0.624113475177305,0.8712871287128713,0.7272727272727273,101.0
1,0.40875912408759124,0.5656565656565656,0.4745762711864407,99.0
2,0.6,0.35106382978723405,0.4429530201342282,94.0
3,0.6507936507936508,0.4606741573033708,0.5394736842105263,89.0
4,0.6571428571428571,0.5542168674698795,0.6013071895424836,83.0
accuracy,0.5665236051502146,0.5665236051502146,0.5665236051502146,0.5665236051502146
macro avg,0.5881618214402808,0.5605797097859841,0.5571165784692813,466.0
weighted avg,0.5844766230495095,0.5665236051502146,0.5579331219342993,466.0
