,precision,recall,f1-score,support
0,0.6165413533834586,0.8118811881188119,0.7008547008547008,101.0
1,0.48484848484848486,0.6464646464646465,0.5541125541125541,99.0
2,0.4444444444444444,0.3829787234042553,0.4114285714285714,94.0
3,0.8,0.449438202247191,0.5755395683453237,89.0
4,0.6857142857142857,0.5783132530120482,0.6274509803921569,83.0
accuracy,0.5793991416309013,0.5793991416309013,0.5793991416309013,0.5793991416309013
macro avg,0.6063097136781348,0.5738152026493906,0.5738772750266614,466.0
weighted avg,0.6012075969609288,0.5793991416309013,0.5742901423026527,466.0
