,precision,recall,f1-score,support
0,0.48314606741573035,0.8514851485148515,0.6164874551971327,101.0
1,0.37254901960784315,0.3838383838383838,0.3781094527363184,99.0
2,0.35,0.3723404255319149,0.36082474226804123,94.0
3,0.782608695652174,0.4044943820224719,0.5333333333333333,89.0
4,0.825,0.39759036144578314,0.5365853658536586,83.0
accuracy,0.4892703862660944,0.4892703862660944,0.4892703862660944,0.4892703862660944
macro avg,0.5626607565351496,0.48194974027068105,0.48506806987769685,466.0
weighted avg,0.550873990693581,0.4892703862660944,0.48416061502472557,466.0
